entity_id,entity_label,column_name,column_type,is_pk,is_fk,fk_target,is_nullable,default_val
AuditLog,監査ログ,id,Int,true,false,,false,
AuditLog,監査ログ,action,String,false,false,,false,
AuditLog,監査ログ,target,String,false,false,,false,
AuditLog,監査ログ,performed_at,DateTime,false,false,,false,
AuditLog,監査ログ,ip_address,String,false,false,,true,
AuditLog,監査ログ,useraccount_id,Int,false,true,UserAccount,false,
CreditCard,クレジットカード,id,Int,true,false,,false,
CreditCard,クレジットカード,card_number_hash,String,false,false,,false,
CreditCard,クレジットカード,last4,String,false,false,,false,
CreditCard,クレジットカード,brand,Enum,false,false,,false,
CreditCard,クレジットカード,expires_month,Int,false,false,,false,
CreditCard,クレジットカード,expires_year,Int,false,false,,false,
CreditCard,クレジットカード,holder_name,String,false,false,,false,
CreditCard,クレジットカード,is_primary,Bool,false,false,,false,
CreditCard,クレジットカード,useraccount_id,Int,false,true,UserAccount,false,
PasswordCredential,パスワード資格情報,id,Int,true,false,,false,
PasswordCredential,パスワード資格情報,password_hash,String,false,false,,false,
PasswordCredential,パスワード資格情報,salt,String,false,false,,false,
PasswordCredential,パスワード資格情報,algorithm,String,false,false,,false,argon2id
PasswordCredential,パスワード資格情報,updated_at,DateTime,false,false,,false,
PersonalInfo,個人情報,id,Int,true,false,,false,
PersonalInfo,個人情報,given_name,String,false,false,,false,
PersonalInfo,個人情報,family_name,String,false,false,,false,
PersonalInfo,個人情報,birth_date,Date,false,false,,true,
PersonalInfo,個人情報,phone,String,false,false,,true,
PostalAddress,住所,id,Int,true,false,,false,
PostalAddress,住所,postal_code,String,false,false,,false,
PostalAddress,住所,prefecture,String,false,false,,false,
PostalAddress,住所,city,String,false,false,,false,
PostalAddress,住所,street,String,false,false,,false,
PostalAddress,住所,building,String,false,false,,true,
PostalAddress,住所,is_primary,Bool,false,false,,false,
PostalAddress,住所,useraccount_id,Int,false,true,UserAccount,false,
UserAccount,ユーザーアカウント,id,Int,true,false,,false,
UserAccount,ユーザーアカウント,email,String,false,false,,false,
UserAccount,ユーザーアカウント,status,Enum,false,false,,false,active
UserAccount,ユーザーアカウント,created_at,DateTime,false,false,,false,
UserAccount,ユーザーアカウント,last_login_at,DateTime,false,false,,true,
